
id: 0
num_1: 34197	| 0000000017749383 cfc771d1266ed6b5 e6503424c62eef89 d11f3f7d770f418a ...
 5268:	  0.001389	    62.922
 5274:	  0.001271	    65.394
 5280:	  0.002126	    65.141
 5286:	  0.001184	    63.849
 5292:	  0.001462	    62.819
 5298:	  0.001215	    64.115
 5304:	  0.002420	    63.065
 5310:	  0.002045	    63.566
 5316:	  0.001303	    64.307
 5322:	  0.002058	    63.426
 5328:	  0.001466	    73.797
 5334:	  0.001278	    87.707
 5340:	  0.001308	    88.635
 5346:	  0.001293	    87.050
 5352:	  0.001352	    90.682
 5358:	  0.001345	   109.695
 5364:	  0.001614	    89.328
 5370:	  0.002582	   105.977
 5376:	  0.002009	   134.616
 5382:	  0.002092	   136.468
 5388:	  0.001316	   133.934
 5394:	  0.002149	   133.973
 5400:	  0.001203	   184.231
 5406:	  0.001893	   202.951
 5412:	  0.002030	   234.428
 5418:	  0.001289	   198.242
 5424:	  0.001281	   260.219
 5430:	  0.002382	   343.373
 5436:	  0.001593	   505.285
 5442:	  0.001282	   645.906
 5448:	  0.001505	   581.438
 5454:	  0.002151	    19.782
 5460:	  0.003048	    26.282
 5466:	  0.001289	    28.818
 5472:	  0.001352	    35.450
 5478:	  0.002941	    41.223
 5484:	  0.002380	    41.501
 5490:	  0.002014	    39.586
 5496:	  0.001280	    42.264
 5502:	  0.001312	    41.317
 5508:	  0.001232	    41.926
 5514:	  0.001406	    40.603
 5520:	  0.003086	    40.807
 5526:	  0.001428	    40.204
 5532:	  0.001622	    39.588
 5538:	  0.001555	    41.254
 5544:	  0.002276	    41.792
 5550:	  0.002755	    41.124
 5556:	  0.001390	    41.168
 5562:	  0.002015	    41.435
 5568:	  0.001283	    43.315
 5574:	  0.001327	    43.490
 5580:	  0.001352	    42.591
 5586:	  0.001381	    40.089
 5592:	  0.001344	    41.109
 5598:	  0.001270	    41.958
 5604:	  0.001445	    41.247
 5610:	  0.001915	    40.859
 5616:	  0.001481	    40.626
 5622:	  0.001343	    41.147
 5628:	  0.002074	    40.938
 5634:	  0.002652	    42.286
 5640:	  0.001338	    41.377
 5646:	  0.001392	    42.109
 5652:	  0.002033	    40.865
 5658:	  0.002065	    44.160
 5664:	  0.001367	    44.651
 5670:	  0.001775	    54.982
 5676:	  0.001293	    60.483
 5682:	  0.001274	    59.479
 5688:	  0.001396	    75.451
 5694:	  0.003302	    68.720
 5700:	  0.001256	    51.669
 5706:	  0.001414	    68.472
 5712:	  0.001886	    67.200
 5718:	  0.001331	    67.934
 5724:	  0.003475	    69.514
 5730:	  0.001419	    68.651
 5736:	  0.001362	    71.206
 5742:	  0.002076	    88.865
 5748:	  0.002118	    92.596
 5754:	  0.001483	    92.857
 5760:	  0.001307	    94.410
 5766:	  0.001347	    96.777
 5772:	  0.001972	   101.052
 5778:	  0.001398	   119.199
 5784:	  0.003267	   117.040
 5790:	  0.001355	   103.838
 5796:	  0.002107	   138.676
 5802:	  0.001497	   151.110
 5808:	  0.001381	   160.423
 5814:	  0.002130	   170.867
 5820:	  0.001387	   196.338
 5826:	  0.001379	   207.101
 5832:	  0.001296	   237.966
 5838:	  0.001711	   184.824
 5844:	  0.002024	   289.351
 5850:	  0.001531	   232.064
 5856:	  0.002964	   362.968
 5862:	  0.001359	   866.475
 5868:	  0.002919	   804.761
 5874:	  0.004659	    22.271
 5880:	  0.002033	    29.935
 5886:	  0.003365	    37.096
 5892:	  0.001426	    46.433
 5898:	  0.002347	    47.182
 5904:	  0.001657	    37.826
 5910:	  0.002260	    49.582
 5916:	  0.001493	    48.780
 5922:	  0.001459	    45.855
 5928:	  0.002779	    49.682
 5934:	  0.002792	    47.946
 5940:	  0.001491	    47.753
 5946:	  0.001562	    49.700
 5952:	  0.001744	    50.689
 5958:	  0.002973	    51.508
 5964:	  0.001319	    57.966
 5970:	  0.002044	    53.595
 5976:	  0.001673	    51.683
 5982:	  0.002975	    48.932
 5988:	  0.001441	    47.522
 5994:	  0.001576	    50.039
 6000:	  0.002940	    51.116
 6006:	  0.002021	    51.537
 6012:	  0.001834	    50.468
 6018:	  0.001453	    50.246
 6024:	  0.001515	    52.971
 6030:	  0.002082	    47.826
 6036:	  0.001425	    46.468
 6042:	  0.001365	    47.021
 6048:	  0.002871	    49.955
 6054:	  0.001924	    44.804
 6060:	  0.001332	    43.666
 6066:	  0.001357	    44.504
 6072:	  0.002156	    42.935
 6078:	  0.002159	    44.994
 6084:	  0.001560	    45.165
 6090:	  0.002234	    51.918
 6096:	  0.002452	    68.310
 6102:	  0.001408	    70.612
 6108:	  0.001406	    71.080
 6114:	  0.001347	    72.085
 6120:	  0.001392	    72.997
 6126:	  0.001545	    72.916
 6132:	  0.001338	    69.682
 6138:	  0.001312	    70.003
 6144:	  0.001399	    70.455
 6150:	  0.001371	    68.304
 6156:	  0.001324	    70.724
 6162:	  0.002454	    73.592
 6168:	  0.001289	    93.244
 6174:	  0.001352	    99.287
 6180:	  0.001482	    96.820
 6186:	  0.001470	    97.163
 6192:	  0.002302	    97.732
 6198:	  0.001420	   100.212
 6204:	  0.002141	   127.071
 6210:	  0.001467	   126.818
 6216:	  0.002064	   145.243
 6222:	  0.001291	   127.257
 6228:	  0.002408	   160.629
 6234:	  0.002305	   181.295
 6240:	  0.001512	   147.719
 6246:	  0.002303	   219.070
 6252:	  0.002207	   141.275
 6258:	  0.001803	   316.015
 6264:	  0.001408	   295.324
 6270:	  0.001421	   409.097
 6276:	  0.001539	   496.863
 6282:	  0.001508	   340.393
 6288:	  0.003627	   836.372
 6294:	  0.001447	    24.644
 6300:	  0.001589	    29.292
 6306:	  0.002286	    30.704
 6312:	  0.002216	    28.434
 6318:	  0.001553	    41.219
 6324:	  0.001410	    45.041
 6330:	  0.001496	    45.039
 6336:	  0.002244	    41.894
 6342:	  0.002339	    46.563
 6348:	  0.002405	    45.576
 6354:	  0.002282	    45.179
 6360:	  0.001441	    45.820
 6366:	  0.001401	    48.205
 6372:	  0.001601	    47.216
 6378:	  0.001601	    46.313
 6384:	  0.002694	    46.371
 6390:	  0.001700	    47.582
 6396:	  0.001483	    45.670
 6402:	  0.001419	    47.341
 6408:	  0.001370	    46.352
 6414:	  0.001447	    48.375
 6420:	  0.001775	    47.227
 6426:	  0.001460	    48.431
 6432:	  0.001497	    47.488
 6438:	  0.001446	    47.257
 6444:	  0.001320	    49.230
 6450:	  0.001341	    50.398
 6456:	  0.001378	    48.860
 6462:	  0.002210	    46.607
 6468:	  0.001466	    48.030
 6474:	  0.002229	    48.496
 6480:	  0.001566	    48.764
 6486:	  0.001844	    47.812
 6492:	  0.001536	    47.142
 6498:	  0.001430	    47.975
 6504:	  0.002185	    48.476
 6510:	  0.001415	    52.855
 6516:	  0.001527	    68.988
 6522:	  0.001437	    78.686
 6528:	  0.002992	    76.671
 6534:	  0.002214	    75.061
 6540:	  0.002501	    78.595
 6546:	  0.002407	    75.641
 6552:	  0.001437	    80.623
 6558:	  0.004459	    81.281
 6564:	  0.002655	    79.733
 6570:	  0.001502	    78.778
 6576:	  0.001379	    84.524
 6582:	  0.002472	    93.445
 6588:	  0.001578	   108.462
 6594:	  0.001573	   106.048
 6600:	  0.004037	   107.392
 6606:	  0.001441	   106.461
 6612:	  0.001487	   110.980
 6618:	  0.001530	   134.488
 6624:	  0.002472	   132.970
 6630:	  0.001503	   139.785
 6636:	  0.001426	   167.254
 6642:	  0.002437	   165.017
 6648:	  0.001334	   154.885
 6654:	  0.001459	   194.322
 6660:	  0.002573	   226.598
 6666:	  0.003059	   203.963
 6672:	  0.002251	   248.255
 6678:	  0.001431	   342.721
 6684:	  0.001700	   326.764
 6690:	  0.001971	   286.881
 6696:	  0.003086	   656.966
 6702:	  0.001679	   516.879
 6708:	  0.001431	  1002.129
 6714:	  0.001429	    22.313
 6720:	  0.001536	    32.384
 6726:	  0.001503	    52.424
 6732:	  0.005614	    43.022
 6738:	  0.002966	    49.162
 6744:	  0.005201	    66.522
 6750:	  0.004124	    72.773
 6756:	  0.002853	    72.065
 6762:	  0.001845	    72.483
 6768:	  0.004795	    80.042
 6774:	  0.001866	    73.511
 6780:	  0.002484	    67.060
 6786:	  0.003679	    80.485
 6792:	  0.006952	    82.563
 6798:	  0.002504	    66.498
 6804:	  0.001846	    65.578
 6810:	  0.002581	    67.058
 6816:	  0.002220	    66.111
 6822:	  0.003816	    67.683
 6828:	  0.003999	    65.798
 6834:	  0.003261	    65.318
 6840:	  0.001635	    66.441
 6846:	  0.002438	    70.341
 6852:	  0.001957	    68.375
 6858:	  0.004096	    66.489
 6864:	  0.002900	    67.323
 6870:	  0.001765	    66.253
 6876:	  0.002576	    73.822
 6882:	  0.003117	    71.012
 6888:	  0.002590	    84.246
 6894:	  0.002111	    67.612
 6900:	  0.001579	    70.191
 6906:	  0.001749	    73.544
 6912:	  0.005131	    76.674
 6918:	  0.002263	    80.361
 6924:	  0.004834	    85.305
 6930:	  0.004439	   124.260
 6936:	  0.003431	    97.773
 6942:	  0.003170	   139.231
 6948:	  0.003567	   130.743
 6954:	  0.001621	   133.091
 6960:	  0.004636	   136.568
 6966:	  0.004917	   136.044
 6972:	  0.004346	   139.099
 6978:	  0.003136	   131.796
 6984:	  0.001630	   133.417
 6990:	  0.001667	   153.863
 6996:	  0.005785	   112.079
 7002:	  0.002526	    94.024
 7008:	  0.003279	    98.224
 7014:	  0.001601	   114.044
 7020:	  0.001527	   112.036
 7026:	  0.001548	   113.230
 7032:	  0.001732	   133.487
 7038:	  0.002634	   138.410
 7044:	  0.002875	   143.107
 7050:	  0.002414	   144.169
 7056:	  0.001516	   162.278
 7062:	  0.001511	   165.015
 7068:	  0.001650	   204.418
 7074:	  0.001678	   209.108
 7080:	  0.001661	   241.678
 7086:	  0.001477	   206.146
 7092:	  0.001532	   271.430
 7098:	  0.002084	   303.290
 7104:	  0.001538	   285.323
 7110:	  0.001496	   474.414
 7116:	  0.002693	   711.296
 7122:	  0.001520	   683.762
 7128:	  0.001697	  1152.513
 7134:	  0.001484	    28.111
 7140:	  0.001459	    30.222
 7146:	  0.002778	    43.355
 7152:	  0.002526	    39.320
 7158:	  0.001501	    43.504
 7164:	  0.002507	    51.598
 7170:	  0.001777	    55.997
 7176:	  0.002344	    53.426
 7182:	  0.002507	    51.778
 7188:	  0.001373	    54.652
 7194:	  0.001614	    51.667
 7200:	  0.002376	    53.139
 7206:	  0.002328	    53.903
 7212:	  0.002593	    50.790
 7218:	  0.002267	    53.313
 7224:	  0.002270	    50.061
 7230:	  0.001503	    53.047
 7236:	  0.001463	    51.024
 7242:	  0.001539	    54.669
 7248:	  0.002710	    55.213
 7254:	  0.002734	    54.312
 7260:	  0.001493	    54.977
 7266:	  0.001544	    54.031
 7272:	  0.001666	    51.191
 7278:	  0.001765	    51.523
 7284:	  0.002042	    52.106
 7290:	  0.001559	    52.057
 7296:	  0.001471	    54.277
 7302:	  0.001547	    53.008
 7308:	  0.001714	    54.989
 7314:	  0.001704	    54.439
 7320:	  0.001602	    53.565
 7326:	  0.002675	    53.978
 7332:	  0.002504	    53.646
 7338:	  0.001599	    53.625
 7344:	  0.001533	    55.947
 7350:	  0.001462	    55.516
 7356:	  0.001695	    83.707
 7362:	  0.001714	    87.063
 7368:	  0.001557	    86.560
 7374:	  0.001853	    90.780
 7380:	  0.002547	    86.012
 7386:	  0.001607	    85.586
 7392:	  0.001454	    86.087
 7398:	  0.001564	    87.291
 7404:	  0.002079	    86.546
 7410:	  0.001513	    85.987
 7416:	  0.002622	    99.152
 7422:	  0.001707	   114.656
 7428:	  0.001467	   115.073
 7434:	  0.001610	   126.012
 7440:	  0.001616	   130.262
 7446:	  0.004096	   131.850
 7452:	  0.002088	   134.677
 7458:	  0.002059	   151.268
 7464:	  0.001721	   151.098
 7470:	  0.001915	   153.599
 7476:	  0.003420	   186.070
 7482:	  0.001756	   184.888
 7488:	  0.001880	   200.419
 7494:	  0.002768	   222.090
 7500:	  0.002686	   253.521
 7506:	  0.001544	   289.669
 7512:	  0.001614	   287.048
 7518:	  0.001591	   393.268
 7524:	  0.002725	   468.461
 7530:	  0.001602	   587.574
 7536:	  0.002769	   474.321
 7542:	  0.002001	   789.597
 7548:	  0.001559	  1323.584
 7554:	  0.001749	    24.225
 7560:	  0.001613	    37.392
 7566:	  0.001571	    44.265
 7572:	  0.001922	    26.287
 7578:	  0.001804	    52.140
 7584:	  0.001621	    54.502
 7590:	  0.002506	    52.907
 7596:	  0.001602	    53.145
 7602:	  0.001497	    54.355
 7608:	  0.001563	    55.740
 7614:	  0.001596	    57.071
 7620:	  0.002557	    55.665
 7626:	  0.001593	    55.346
 7632:	  0.002623	    56.199
 7638:	  0.002772	    55.996
 7644:	  0.003185	    58.291
 7650:	  0.001616	    56.868
 7656:	  0.001568	    55.685
 7662:	  0.001634	    55.730
 7668:	  0.001605	    53.790
 7674:	  0.002654	    55.098
 7680:	  0.003696	    56.266
 7686:	  0.001813	    56.100
 7692:	  0.002568	    55.804
 7698:	  0.001520	    57.124
 7704:	  0.002791	    61.447
 7710:	  0.002908	    58.491
 7716:	  0.002343	    57.143
 7722:	  0.001605	    57.229
 7728:	  0.003203	    55.465
 7734:	  0.001650	    56.392
 7740:	  0.002051	    57.492
 7746:	  0.001808	    55.490
 7752:	  0.002587	    59.538
 7758:	  0.002703	    57.385
 7764:	  0.002392	    59.405
 7770:	  0.001546	    82.721
 7776:	  0.003715	    91.910
 7782:	  0.001492	    87.394
 7788:	  0.002839	    87.923
 7794:	  0.001805	    94.860
 7800:	  0.001800	    91.441
 7806:	  0.001690	    89.742
 7812:	  0.001752	    93.090
 7818:	  0.002478	    95.740
 7824:	  0.001616	    89.582
 7830:	  0.001623	    89.985
 7836:	  0.002757	    90.885
 7842:	  0.003022	    96.370
 7848:	  0.002160	   123.292
 7854:	  0.002594	   132.996
 7860:	  0.002916	   122.011
 7866:	  0.001607	   124.369
 7872:	  0.003182	   141.359
 7878:	  0.001765	   138.705
 7884:	  0.001846	   167.919
 7890:	  0.002621	   170.200
 7896:	  0.001781	   195.848
 7902:	  0.001806	   193.073
 7908:	  0.001667	   218.645
 7914:	  0.003080	   238.179
 7920:	  0.002740	   272.456
 7926:	  0.003047	   229.526
 7932:	  0.002676	   298.454
 7938:	  0.002722	   370.557
 7944:	  0.001642	   495.489
 7950:	  0.001578	   515.533
 7956:	  0.001963	   660.244
 7962:	  0.002942	   970.791
 7968:	  0.002039	  1544.811
 7974:	  0.002149	    26.616
 7980:	  0.002864	    45.410
 7986:	  0.001871	    38.470
 7992:	  0.003072	    51.551
 7998:	  0.001659	    58.187
 8004:	  0.001623	    59.273
 8010:	  0.002872	    59.577
 8016:	  0.002623	    57.114
 8022:	  0.003013	    61.760
 8028:	  0.001767	    60.842
 8034:	  0.001544	    61.443
 8040:	  0.001728	    61.315
 8046:	  0.003080	    64.879
 8052:	  0.003071	    61.451
 8058:	  0.003162	    61.439
 8064:	  0.001897	    62.161
 8070:	  0.003507	    56.770
 8076:	  0.003118	    60.047
 8082:	  0.001649	    60.258
 8088:	  0.001592	    58.210
 8094:	  0.001942	    61.626
 8100:	  0.001956	    60.465
 8106:	  0.001955	    61.193
 8112:	  0.002950	    62.415
 8118:	  0.001715	    59.736
 8124:	  0.001673	    60.182
 8130:	  0.001807	    58.611
 8136:	  0.001674	    62.248
 8142:	  0.001811	    56.984
 8148:	  0.002099	    61.341
 8154:	  0.001573	    62.347
 8160:	  0.001721	    61.531
 8166:	  0.001564	    59.758
 8172:	  0.001688	    63.751
 8178:	  0.002737	    65.787
 8184:	  0.003034	    64.653
 8190:	  0.004138	    72.359
 8196:	  0.002773	    94.679
 8202:	  0.001674	    96.517
 8208:	  0.001700	    98.129
 8214:	  0.001702	    97.958
 8220:	  0.003226	   101.028
 8226:	  0.001978	    97.801
 8232:	  0.001593	   100.003
 8238:	  0.003648	    96.008
 8244:	  0.002915	   100.511
 8250:	  0.001657	    98.889
 8256:	  0.003006	   104.902
 8262:	  0.005417	   107.141
 8268:	  0.002998	   136.309
 8274:	  0.001648	   132.164
 8280:	  0.001779	   131.902
 8286:	  0.001621	   132.687
 8292:	  0.001581	   152.781
 8298:	  0.002944	   163.511
 8304:	  0.001802	   168.772
 8310:	  0.002649	   181.231
 8316:	  0.003216	   198.477
 8322:	  0.001616	   208.324
 8328:	  0.001701	   243.556
 8334:	  0.001770	   258.929
 8340:	  0.002912	   245.267
 8346:	  0.003078	   273.796
 8352:	  0.001731	   383.099
 8358:	  0.002149	   434.256
 8364:	  0.001904	   466.567
 8370:	  0.001769	   651.997
 8376:	  0.001766	   787.675
 8382:	  0.002090	  1108.766
 8388:	  0.003044	  1729.652
 8394:	  0.002493	    36.142
 8400:	  0.001631	    40.413
 8406:	  0.001669	    49.282
 8412:	  0.001603	    54.134
 8418:	  0.001647	    54.477
 8424:	  0.003059	    59.550
 8430:	  0.001787	    59.257
 8436:	  0.001760	    62.250
 8442:	  0.003018	    62.947
 8448:	  0.002840	    64.548
 8454:	  0.002493	    61.529
 8460:	  0.001759	    65.547
 8466:	  0.001806	    62.821
 8472:	  0.002755	    64.479
 8478:	  0.002606	    63.338
 8484:	  0.001707	    62.128
 8490:	  0.001988	    63.370
 8496:	  0.002059	    62.354
 8502:	  0.004322	    62.117
 8508:	  0.003025	    61.130
 8514:	  0.001696	    61.400
 8520:	  0.003039	    64.795
 8526:	  0.002756	    65.316
 8532:	  0.001858	    62.199
 8538:	  0.002775	    63.015
 8544:	  0.001626	    62.864
 8550:	  0.001517	    60.132
 8556:	  0.001863	    63.340
 8562:	  0.001894	    62.165
 8568:	  0.001993	    60.665
 8574:	  0.001681	    61.625
 8580:	  0.001722	    64.644
 8586:	  0.004762	    64.004
 8592:	  0.002079	    63.714
 8598:	  0.001657	    63.060
 8604:	  0.001709	    62.083
 8610:	  0.001671	    85.033
 8616:	  0.001951	    63.040
 8622:	  0.001696	    91.553
 8628:	  0.001567	    98.906
 8634:	  0.001852	   103.521
 8640:	  0.004018	    98.534
 8646:	  0.002570	    97.891
 8652:	  0.001807	    99.096
 8658:	  0.003027	   103.830
 8664:	  0.002899	    99.292
 8670:	  0.001718	   104.439
 8676:	  0.001774	   120.180
 8682:	  0.002803	   128.173
 8688:	  0.001717	   138.615
 8694:	  0.001708	   135.414
 8700:	  0.001744	   144.226
 8706:	  0.003152	   142.335
 8712:	  0.002867	   141.381
 8718:	  0.001923	   149.645
 8724:	  0.003061	   178.877
 8730:	  0.001574	   160.325
 8736:	  0.001544	   213.775
 8742:	  0.003092	   214.102
 8748:	  0.001857	   247.499
 8754:	  0.003177	   224.546
 8760:	  0.001618	   294.749
 8766:	  0.003228	   248.767
 8772:	  0.003307	   365.722
 8778:	  0.002775	   347.310
 8784:	  0.003192	   428.827
 8790:	  0.001729	   486.192
 8796:	  0.001911
